Time	Pressure Old [Pa]	Pressure New [Pa]
2023-02-24 21:19:42	5.7	5.319999999999999
2023-02-24 21:19:44	5.6000000000000005	5.248
2023-02-24 21:19:46	5.6000000000000005	5.18
2023-02-24 21:19:48	10.0	9.47
2023-02-24 21:19:50	8.200000000000001	8.016
2023-02-24 21:19:52	7.1	6.8839999999999995
2023-02-24 21:19:54	6.4	6.1899999999999995
2023-02-24 21:19:56	10.5	9.904
2023-02-24 21:19:58	8.3	8.181
2023-02-24 21:20:00	7.000000000000001	6.9
2023-02-24 21:20:02	6.3	6.136
2023-02-24 21:20:04	5.800000000000001	5.607
2023-02-24 21:20:06	6.0	5.906000000000001
2023-02-24 21:20:08	6.3	6.135
2023-02-24 21:20:10	6.6000000000000005	6.333
2023-02-24 21:20:12	6.7	6.508
2023-02-24 21:20:14	14.6	12.559999999999999
2023-02-24 21:20:16	13.700000000000001	14.01
2023-02-24 21:20:18	13.900000000000002	14.02
2023-02-24 21:20:20	20.5	21.83
2023-02-24 21:20:22	20.9	22.18
2023-02-24 21:20:24	21.099999999999998	22.17
2023-02-24 21:20:26	21.4	22.189999999999998
2023-02-24 21:20:28	28.299999999999997	28.98
2023-02-24 21:20:30	28.499999999999996	28.98
2023-02-24 21:20:32	28.7	28.99
2023-02-24 21:20:34	35.5	35.75
2023-02-24 21:20:36	35.699999999999996	35.76
2023-02-24 21:20:38	35.9	35.76
2023-02-24 21:20:40	42.1	42.66
2023-02-24 21:20:42	42.699999999999996	42.75
2023-02-24 21:20:44	42.8	42.75
2023-02-24 21:20:46	49.2	49.68
2023-02-24 21:20:48	49.8	49.75
2023-02-24 21:20:50	50.0	49.75
2023-02-24 21:20:52	56.89999999999999	56.95
2023-02-24 21:20:54	57.199999999999996	56.96
2023-02-24 21:20:56	68.10000000000001	57.34
2023-02-24 21:20:58	63.5	63.44
2023-02-24 21:21:00	63.7	63.449999999999996
2023-02-24 21:21:02	63.800000000000004	63.44
2023-02-24 21:21:04	63.9	63.46000000000001
2023-02-24 21:21:06	69.89999999999999	69.78
2023-02-24 21:21:08	70.39999999999999	69.82000000000001
2023-02-24 21:21:10	70.6	69.82000000000001
2023-02-24 21:21:12	83.8	83.39
2023-02-24 21:21:14	84.3	83.42
2023-02-24 21:21:16	84.5	83.39999999999999
2023-02-24 21:21:18	84.5	83.38
2023-02-24 21:21:20	101.0	100.55000000000001
2023-02-24 21:21:22	102.0	100.55000000000001
2023-02-24 21:21:24	102.0	100.47999999999999
2023-02-24 21:21:26	102.0	100.42999999999999
2023-02-24 21:21:28	122.0	111.74
2023-02-24 21:21:30	123.0	122.03
2023-02-24 21:21:32	123.0	122.0
