Time	Time injected [ms]	Pressure Old [Pa]	Pressure New [Pa]	New Pressure Pirani Mode [Pa]	New Pressure Piezo Mode [Pa]
2023-06-28 14:03:17	0	10.100000000000001	15.68	15.67	UR
2023-06-28 14:03:17	0	10.100000000000001	15.65	15.64	UR
2023-06-28 14:03:17	0	10.0	15.620000000000001	15.64	UR
2023-06-28 14:03:17	0	10.0	15.620000000000001	15.61	UR
2023-06-28 14:03:17	0	10.0	15.590000000000002	15.58	UR
2023-06-28 14:03:17	0	10.0	15.559999999999999	15.58	UR
2023-06-28 14:03:17	0	10.0	15.559999999999999	15.55	UR
2023-06-28 14:03:17	0	10.0	15.53	15.52	UR
2023-06-28 14:03:18	0	10.0	15.53	15.52	UR
2023-06-28 14:03:18	0	10.0	15.5	15.49	UR
2023-06-28 14:03:18	0	10.0	15.47	15.49	UR
2023-06-28 14:03:18	0	10.0	15.47	15.459999999999999	UR
2023-06-28 14:03:18	0	10.0	15.440000000000001	15.43	UR
2023-06-28 14:03:18	0	10.0	15.409999999999998	15.43	UR
2023-06-28 14:03:18	0	10.0	15.409999999999998	15.4	UR
2023-06-28 14:03:18	0	10.0	15.379999999999999	15.370000000000001	UR
2023-06-28 14:03:18	0	9.9	15.379999999999999	15.370000000000001	UR
2023-06-28 14:03:18	0	9.9	15.35	15.340000000000002	UR
2023-06-28 14:03:19	0	9.9	15.32	15.310000000000002	UR
2023-06-28 14:03:19	0	9.9	15.32	15.310000000000002	UR
2023-06-28 14:03:19	0	9.9	15.290000000000001	15.28	UR
2023-06-28 14:03:19	0	9.9	15.260000000000002	15.28	UR
2023-06-28 14:03:19	0	9.9	15.260000000000002	15.25	UR
2023-06-28 14:03:19	0	9.9	15.229999999999999	15.229999999999999	UR
2023-06-28 14:03:19	0	9.9	15.229999999999999	15.229999999999999	UR
2023-06-28 14:03:19	0	9.9	15.21	15.2	UR
2023-06-28 14:03:19	0	9.8	15.18	15.17	UR
2023-06-28 14:03:19	0	9.8	15.18	15.17	UR
2023-06-28 14:03:20	0	9.8	15.15	15.14	UR
2023-06-28 14:03:20	0	9.8	15.110000000000001	15.14	UR
2023-06-28 14:03:20	0	9.8	15.110000000000001	15.110000000000001	UR
2023-06-28 14:03:20	0	9.8	15.079999999999998	15.079999999999998	UR
2023-06-28 14:03:20	0	9.8	15.06	15.079999999999998	UR
2023-06-28 14:03:20	0	9.8	15.06	15.049999999999999	UR
2023-06-28 14:03:20	0	9.8	15.02	15.02	UR
2023-06-28 14:03:20	0	9.8	15.02	15.02	UR
2023-06-28 14:03:20	0	9.8	15.0	15.0	UR
2023-06-28 14:03:20	0	9.700000000000001	14.979999999999999	14.97	UR
2023-06-28 14:03:21	0	9.700000000000001	14.979999999999999	14.97	UR
2023-06-28 14:03:21	0	9.700000000000001	14.96	14.95	UR
2023-06-28 14:03:21	0	9.700000000000001	14.940000000000001	14.95	UR
2023-06-28 14:03:21	0	9.700000000000001	14.940000000000001	14.93	UR
2023-06-28 14:03:21	0	9.700000000000001	14.91	14.899999999999999	UR
2023-06-28 14:03:21	0	9.700000000000001	14.879999999999999	14.899999999999999	UR
2023-06-28 14:03:21	0	9.700000000000001	14.879999999999999	14.879999999999999	UR
2023-06-28 14:03:21	0	9.700000000000001	14.860000000000001	14.85	UR
2023-06-28 14:03:21	0	9.700000000000001	14.860000000000001	14.85	UR
2023-06-28 14:03:21	0	9.700000000000001	14.829999999999998	14.82	UR
2023-06-28 14:03:22	0	9.700000000000001	14.81	14.82	UR
2023-06-28 14:03:22	0	9.6	14.81	14.799999999999999	UR
2023-06-28 14:03:22	0	9.6	14.78	14.77	UR
2023-06-28 14:03:22	0	9.6	14.75	14.77	UR
2023-06-28 14:03:22	0	9.6	14.75	14.74	UR
