Time	Pressure Old [Pa]	Pressure New [Pa]
2023-02-26 15:28:13	5.8999999999999995	5.295
2023-02-26 15:28:15	5.800000000000001	5.253
2023-02-26 15:28:17	5.800000000000001	5.221
2023-02-26 15:28:19	5.800000000000001	5.19
2023-02-26 15:28:21	5.8999999999999995	5.468
2023-02-26 15:28:23	6.4	5.94
2023-02-26 15:28:25	73.5	88.47
2023-02-26 15:28:27	74.6	75.62
2023-02-26 15:28:29	75.2	75.61
2023-02-26 15:28:31	75.8	75.72
2023-02-26 15:28:33	76.3	75.97
2023-02-26 15:28:35	77.0	76.25999999999999
2023-02-26 15:28:37	200.0	203.57
2023-02-26 15:28:39	200.0	203.24
2023-02-26 15:28:41	200.0	203.27
2023-02-26 15:28:43	200.0	203.51
2023-02-26 15:28:45	100000.0	326.12
2023-02-26 15:28:47	100000.0	328.22
2023-02-26 15:28:49	100000.0	331.91
2023-02-26 15:28:51	100000.0	325.41
2023-02-26 15:28:53	100000.0	332.88
2023-02-26 15:28:55	100000.0	332.32
2023-02-26 15:28:57	100000.0	330.73
